Category,Year,CERP_Completions,CERP_Completions_indexed_2019
Computer Science,2011,32588,38.030108530750375
Computer Science,2012,36008,42.02123935114949
Computer Science,2013,39504,46.10106196755748
Computer Science,2014,44627,52.0795892169448
Computer Science,2015,51043,59.567043995798805
Computer Science,2016,58334,68.07562142607073
Computer Science,2017,66086,77.12218461897538
Computer Science,2018,76097,88.80499474851207
Computer Science,2019,85690,100.0
Computer Science,2020,95410,111.343213910608
Computer Science,2021,103425,120.69669739759598
Computer Science,2022,107379,125.31100478468899
Computer Science,2023,112642,131.4529116583032
Computer Science,2024,119957,139.98949702415683
Engineering,2011,77782,60.51096139783107
Engineering,2012,83039,64.60067526567192
Engineering,2013,87642,68.18160601204276
Engineering,2014,94028,73.14963202688615
Engineering,2015,99837,77.66877752018796
Engineering,2016,108848,84.67893762350049
Engineering,2017,117687,91.5552893217781
Engineering,2018,123879,96.37239190303558
Engineering,2019,128542,100.0
Engineering,2020,130282,101.35364316721382
Engineering,2021,128130,99.67948219259075
Engineering,2022,125212,97.4094070420563
Engineering,2023,120981,94.11787586936565
Engineering,2024,118009,91.80579110329697
